,ano,uf,mes,exp,log_exp
0,2019,AC,4928,0.032853264,6775.443418967915
1,2019,AL,62540,0.319088996,
2,2019,AM,94501,0.731092564,
3,2019,AP,8501,0.261368366,6348.921677386806
4,2019,BA,193934,8.162484278,
5,2019,CE,129432,2.275192774,
6,2019,DF,10000,0.160700979,
7,2019,ES,318070,7.105385706,
8,2019,GO,69686,7.133399439,
9,2019,MA,163190,3.5436228770000002,
10,2019,MG,451184,25.138589706,
11,2019,MS,46988,5.243447011,
12,2019,MT,40755,17.206104736,
13,2019,ND,1983,1.937192749,4136.0317844817955
14,2019,PA,123505,17.841240552,
15,2019,PB,11142,0.126300492,
16,2019,PE,66300,1.466345639,
17,2019,PI,4229,0.542832671,
18,2019,PR,824594,16.403308228,
19,2019,RJ,492546,27.62421017,
20,2019,RN,19869,0.394853818,
21,2019,RO,18586,1.303910089,31529.142883233413
22,2019,RR,17556,0.157707419,16786.061630750977
23,2019,RS,1229599,17.25695753,
24,2019,SC,937360,8.951855776,
25,2019,SE,6023,0.050561717,
26,2019,SP,3910295,48.645701644,
27,2019,TO,7310,1.110498457,
